Timestamp,Namespace,Pod,CPU_cores,Memory
15:21:49,calico-system,calico-kube-controllers-848f8b6555-ghxj8,1m,26Mi
15:21:49,calico-system,calico-node-cjvq7,12m,165Mi
15:21:49,calico-system,calico-node-t5bcj,19m,251Mi
15:21:49,calico-system,calico-node-vvdbv,32m,162Mi
15:21:49,calico-system,calico-typha-78d884b655-92925,4m,55Mi
15:21:49,calico-system,calico-typha-78d884b655-pkf7c,1m,19Mi
15:21:49,calico-system,csi-node-driver-cmk9g,1m,15Mi
15:21:49,calico-system,csi-node-driver-xpg5x,1m,34Mi
15:21:49,calico-system,csi-node-driver-xs8z4,1m,9Mi
15:21:49,kube-system,coredns-7c65d6cfc9-jcpd5,2m,14Mi
15:21:49,kube-system,coredns-7c65d6cfc9-jzgjb,1m,16Mi
15:21:49,kube-system,etcd-reehan-pc,18m,58Mi
15:21:49,kube-system,kube-apiserver-reehan-pc,31m,344Mi
15:21:49,kube-system,kube-controller-manager-reehan-pc,11m,56Mi
15:21:49,kube-system,kube-proxy-4589w,1m,19Mi
15:21:49,kube-system,kube-proxy-g78q2,1m,66Mi
15:21:49,kube-system,kube-proxy-zsl56,1m,22Mi
15:21:49,kube-system,kube-scheduler-reehan-pc,3m,27Mi
15:21:49,kube-system,metrics-server-784768665f-z8mzt,5m,92Mi
15:21:51,calico-system,calico-kube-controllers-848f8b6555-ghxj8,1m,26Mi
15:21:51,calico-system,calico-node-cjvq7,12m,165Mi
15:21:51,calico-system,calico-node-t5bcj,19m,251Mi
15:21:51,calico-system,calico-node-vvdbv,32m,162Mi
15:21:51,calico-system,calico-typha-78d884b655-92925,4m,55Mi
15:21:51,calico-system,calico-typha-78d884b655-pkf7c,1m,19Mi
15:21:51,calico-system,csi-node-driver-cmk9g,1m,15Mi
15:21:51,calico-system,csi-node-driver-xpg5x,1m,34Mi
15:21:51,calico-system,csi-node-driver-xs8z4,1m,9Mi
15:21:51,kube-system,coredns-7c65d6cfc9-jcpd5,2m,14Mi
15:21:51,kube-system,coredns-7c65d6cfc9-jzgjb,1m,16Mi
15:21:51,kube-system,etcd-reehan-pc,18m,58Mi
15:21:51,kube-system,kube-apiserver-reehan-pc,31m,344Mi
15:21:51,kube-system,kube-controller-manager-reehan-pc,11m,56Mi
15:21:51,kube-system,kube-proxy-4589w,1m,19Mi
15:21:51,kube-system,kube-proxy-g78q2,1m,66Mi
15:21:51,kube-system,kube-proxy-zsl56,1m,22Mi
15:21:51,kube-system,kube-scheduler-reehan-pc,3m,27Mi
15:21:51,kube-system,metrics-server-784768665f-z8mzt,5m,92Mi
15:21:54,calico-system,calico-kube-controllers-848f8b6555-ghxj8,1m,26Mi
15:21:54,calico-system,calico-node-cjvq7,12m,165Mi
15:21:54,calico-system,calico-node-t5bcj,19m,251Mi
15:21:54,calico-system,calico-node-vvdbv,32m,162Mi
15:21:54,calico-system,calico-typha-78d884b655-92925,4m,55Mi
15:21:54,calico-system,calico-typha-78d884b655-pkf7c,1m,19Mi
15:21:54,calico-system,csi-node-driver-cmk9g,1m,15Mi
15:21:54,calico-system,csi-node-driver-xpg5x,1m,34Mi
15:21:54,calico-system,csi-node-driver-xs8z4,1m,9Mi
15:21:54,kube-system,coredns-7c65d6cfc9-jcpd5,2m,14Mi
15:21:54,kube-system,coredns-7c65d6cfc9-jzgjb,1m,16Mi
15:21:54,kube-system,etcd-reehan-pc,18m,58Mi
15:21:54,kube-system,kube-apiserver-reehan-pc,31m,344Mi
15:21:54,kube-system,kube-controller-manager-reehan-pc,11m,56Mi
15:21:54,kube-system,kube-proxy-4589w,1m,19Mi
15:21:54,kube-system,kube-proxy-g78q2,1m,66Mi
15:21:54,kube-system,kube-proxy-zsl56,1m,22Mi
15:21:54,kube-system,kube-scheduler-reehan-pc,3m,27Mi
15:21:54,kube-system,metrics-server-784768665f-z8mzt,5m,92Mi
15:21:56,calico-system,calico-kube-controllers-848f8b6555-ghxj8,1m,26Mi
15:21:56,calico-system,calico-node-cjvq7,12m,165Mi
15:21:56,calico-system,calico-node-t5bcj,19m,251Mi
15:21:56,calico-system,calico-node-vvdbv,32m,162Mi
15:21:56,calico-system,calico-typha-78d884b655-92925,4m,55Mi
15:21:56,calico-system,calico-typha-78d884b655-pkf7c,1m,19Mi
15:21:56,calico-system,csi-node-driver-cmk9g,1m,15Mi
15:21:56,calico-system,csi-node-driver-xpg5x,1m,34Mi
15:21:56,calico-system,csi-node-driver-xs8z4,1m,9Mi
15:21:56,kube-system,coredns-7c65d6cfc9-jcpd5,2m,14Mi
15:21:56,kube-system,coredns-7c65d6cfc9-jzgjb,1m,16Mi
15:21:56,kube-system,etcd-reehan-pc,18m,58Mi
15:21:56,kube-system,kube-apiserver-reehan-pc,31m,344Mi
15:21:56,kube-system,kube-controller-manager-reehan-pc,11m,56Mi
15:21:56,kube-system,kube-proxy-4589w,1m,19Mi
15:21:56,kube-system,kube-proxy-g78q2,1m,66Mi
15:21:56,kube-system,kube-proxy-zsl56,1m,22Mi
15:21:56,kube-system,kube-scheduler-reehan-pc,3m,27Mi
15:21:56,kube-system,metrics-server-784768665f-z8mzt,5m,92Mi
15:21:58,calico-system,calico-kube-controllers-848f8b6555-ghxj8,2m,26Mi
15:21:58,calico-system,calico-node-cjvq7,12m,165Mi
15:21:58,calico-system,calico-node-t5bcj,30m,250Mi
15:21:58,calico-system,calico-node-vvdbv,36m,162Mi
15:21:58,calico-system,calico-typha-78d884b655-92925,5m,55Mi
15:21:58,calico-system,calico-typha-78d884b655-pkf7c,2m,19Mi
15:21:58,calico-system,csi-node-driver-cmk9g,1m,15Mi
15:21:58,calico-system,csi-node-driver-xpg5x,1m,34Mi
15:21:58,calico-system,csi-node-driver-xs8z4,1m,9Mi
15:21:58,kube-system,coredns-7c65d6cfc9-jcpd5,1m,14Mi
15:21:58,kube-system,coredns-7c65d6cfc9-jzgjb,2m,16Mi
15:21:58,kube-system,etcd-reehan-pc,18m,58Mi
15:21:58,kube-system,kube-apiserver-reehan-pc,33m,347Mi
15:21:58,kube-system,kube-controller-manager-reehan-pc,11m,57Mi
15:21:58,kube-system,kube-proxy-4589w,1m,18Mi
15:21:58,kube-system,kube-proxy-g78q2,1m,66Mi
15:21:58,kube-system,kube-proxy-zsl56,1m,22Mi
15:21:58,kube-system,kube-scheduler-reehan-pc,2m,27Mi
15:21:58,kube-system,metrics-server-784768665f-z8mzt,7m,92Mi
15:22:00,calico-system,calico-kube-controllers-848f8b6555-ghxj8,2m,26Mi
15:22:00,calico-system,calico-node-cjvq7,12m,165Mi
15:22:00,calico-system,calico-node-t5bcj,30m,250Mi
15:22:00,calico-system,calico-node-vvdbv,36m,162Mi
15:22:00,calico-system,calico-typha-78d884b655-92925,5m,55Mi
15:22:00,calico-system,calico-typha-78d884b655-pkf7c,2m,19Mi
15:22:00,calico-system,csi-node-driver-cmk9g,1m,15Mi
15:22:00,calico-system,csi-node-driver-xpg5x,1m,34Mi
15:22:00,calico-system,csi-node-driver-xs8z4,1m,9Mi
15:22:00,kube-system,coredns-7c65d6cfc9-jcpd5,1m,14Mi
15:22:00,kube-system,coredns-7c65d6cfc9-jzgjb,2m,16Mi
15:22:00,kube-system,etcd-reehan-pc,18m,58Mi
15:22:00,kube-system,kube-apiserver-reehan-pc,33m,347Mi
15:22:00,kube-system,kube-controller-manager-reehan-pc,11m,57Mi
15:22:00,kube-system,kube-proxy-4589w,1m,18Mi
15:22:00,kube-system,kube-proxy-g78q2,1m,66Mi
15:22:00,kube-system,kube-proxy-zsl56,1m,22Mi
15:22:00,kube-system,kube-scheduler-reehan-pc,2m,27Mi
15:22:00,kube-system,metrics-server-784768665f-z8mzt,7m,92Mi
15:22:02,calico-system,calico-kube-controllers-848f8b6555-ghxj8,2m,26Mi
15:22:02,calico-system,calico-node-cjvq7,12m,165Mi
15:22:02,calico-system,calico-node-t5bcj,30m,250Mi
15:22:02,calico-system,calico-node-vvdbv,36m,162Mi
15:22:02,calico-system,calico-typha-78d884b655-92925,5m,55Mi
15:22:02,calico-system,calico-typha-78d884b655-pkf7c,2m,19Mi
15:22:02,calico-system,csi-node-driver-cmk9g,1m,15Mi
15:22:02,calico-system,csi-node-driver-xpg5x,1m,34Mi
15:22:02,calico-system,csi-node-driver-xs8z4,1m,9Mi
15:22:02,kube-system,coredns-7c65d6cfc9-jcpd5,1m,14Mi
15:22:02,kube-system,coredns-7c65d6cfc9-jzgjb,2m,16Mi
15:22:02,kube-system,etcd-reehan-pc,18m,58Mi
15:22:02,kube-system,kube-apiserver-reehan-pc,33m,347Mi
15:22:02,kube-system,kube-controller-manager-reehan-pc,11m,57Mi
15:22:02,kube-system,kube-proxy-4589w,1m,18Mi
15:22:02,kube-system,kube-proxy-g78q2,1m,66Mi
15:22:02,kube-system,kube-proxy-zsl56,1m,22Mi
15:22:02,kube-system,kube-scheduler-reehan-pc,2m,27Mi
15:22:02,kube-system,metrics-server-784768665f-z8mzt,7m,92Mi
15:22:05,calico-system,calico-kube-controllers-848f8b6555-ghxj8,2m,26Mi
15:22:05,calico-system,calico-node-cjvq7,12m,165Mi
15:22:05,calico-system,calico-node-t5bcj,30m,250Mi
15:22:05,calico-system,calico-node-vvdbv,36m,162Mi
15:22:05,calico-system,calico-typha-78d884b655-92925,5m,55Mi
15:22:05,calico-system,calico-typha-78d884b655-pkf7c,2m,19Mi
15:22:05,calico-system,csi-node-driver-cmk9g,1m,15Mi
15:22:05,calico-system,csi-node-driver-xpg5x,1m,34Mi
15:22:05,calico-system,csi-node-driver-xs8z4,1m,9Mi
15:22:05,kube-system,coredns-7c65d6cfc9-jcpd5,1m,14Mi
15:22:05,kube-system,coredns-7c65d6cfc9-jzgjb,2m,16Mi
15:22:05,kube-system,etcd-reehan-pc,18m,58Mi
15:22:05,kube-system,kube-apiserver-reehan-pc,33m,347Mi
15:22:05,kube-system,kube-controller-manager-reehan-pc,11m,57Mi
15:22:05,kube-system,kube-proxy-4589w,1m,18Mi
15:22:05,kube-system,kube-proxy-g78q2,1m,66Mi
15:22:05,kube-system,kube-proxy-zsl56,1m,22Mi
15:22:05,kube-system,kube-scheduler-reehan-pc,2m,27Mi
15:22:05,kube-system,metrics-server-784768665f-z8mzt,7m,92Mi
